red_alliance_total,blue_alliance_total,red_one_skill,red_two_skill,red_three_skill,blue_one_skill,blue_two_skill,blue_three_skill,red_baseline,blue_baseline,auto_red_lev_cubes,auto_red_boost_cubes,auto_red_force_cubes,auto_red_overflow_cubes,auto_blue_lev_cubes,auto_blue_boost_cubes,auto_blue_force_cubes,auto_blue_overflow_cubes,auto_red_own_switch_control,auto_red_opposite_switch_control,auto_blue_own_switch_control,auto_blue_opposite_switch_control,auto_red_scale_control,auto_blue_scale_control,auto_red_own_switch_cubes,auto_red_opposite_switch_cubes,auto_blue_own_switch_cubes,auto_red_opposite_switch_cubes,auto_red_scale_cubes,auto_blue_scale_cubes,red_alliance_auto_total,blue_alliance_auto_total,red_num_climbed,blue_num_climbed,red_num_parked,blue_num_parked,red_lev_cubes,blue_lev_cubes,red_boost_cubes,blue_boost_cubes,red_force_cubes,blue_force_cubes,red_overflow_cubes,blue_overflow_cubes,red_boost_time,red_force_time,red_boost_cubes_used,red_force_cubes_used,red_lev_time,red_lev_used,blue_boost_time,blue_force_time,blue_boost_cubes_used,blue_force_cubes_used,blue_lev_time,blue_lev_used,red_own_switch_control,red_opposite_switch_control,blue_own_switch_control,blue_opposite_switch_control,red_scale_control,blue_scale_control,red_own_switch_cubes,red_opposite_switch_cubes,blue_own_switch_cubes,red_opposite_switch_cubes,red_scale_cubes,blue_scale_cubes
270,219,5,1,4,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,2,3,3,2,3,3,3,0,13,0,0,0,0,0,False,0,0,0,0,0,False,56,0,137,34,0,146,26,1,50,1,1,3
297,85,2,9,9,9,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,59,128,0,47,135,0,27,31,26,31,31,17
188,202,3,6,6,8,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,8,39,83,121,8,123,4,53,11,53,6,36
366,95,4,8,8,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,125,124,0,0,0,144,31,14,8,14,25,35
288,155,6,8,5,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,87,2,99,27,97,7,5,3,34,3,62,4
197,260,7,3,6,2,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,7,0,145,137,90,20,16,28,40,28,8,26
326,100,3,9,4,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,1,0,3,0,3,0,3,0,11,0,0,0,0,0,False,0,0,0,0,0,False,131,124,0,0,109,22,7,27,1,27,22,38
293,182,9,7,5,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,80,10,107,20,119,10,47,6,18,6,35,43
264,68,1,6,10,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,2,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,False,0,0,0,0,0,False,47,134,5,85,140,0,39,21,3,21,6,4
316,107,6,8,10,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,1,2,2,1,0,3,0,3,0,3,0,17,0,0,0,0,0,False,0,0,0,0,0,False,119,143,0,18,110,11,17,28,3,28,44,4
